dt,AverageTemperature,AverageTemperatureUncertainty,State,Country
1917-05-01,24.537,1.099,Acre,Brazil
1917-06-01,24.693,1.426,Acre,Brazil
1917-07-01,24.41,0.667,Acre,Brazil
1917-08-01,25.12,0.889,Acre,Brazil
1917-09-01,25.622,1.033,Acre,Brazil
1917-10-01,25.181,0.617,Acre,Brazil
1917-11-01,25.611,0.847,Acre,Brazil
1917-12-01,24.332,0.584,Acre,Brazil
1918-01-01,24.223,0.573,Acre,Brazil
1918-02-01,24.663,1.286,Acre,Brazil
1918-03-01,24.882,0.712,Acre,Brazil
1918-04-01,25.038,0.461,Acre,Brazil
1918-05-01,25.27,0.562,Acre,Brazil
1918-06-01,25.426,1.707,Acre,Brazil
1918-07-01,24.717,1.792,Acre,Brazil
1918-08-01,26.239,1.45,Acre,Brazil
1918-09-01,26.494,0.58,Acre,Brazil
1918-10-01,26.122,0.608,Acre,Brazil
1918-11-01,26.104,0.857,Acre,Brazil
1918-12-01,26.191,0.597,Acre,Brazil
1919-01-01,26.625,0.735,Acre,Brazil
1919-02-01,27.032,0.728,Acre,Brazil
1919-03-01,26.094,0.789,Acre,Brazil
1919-04-01,26.166,0.928,Acre,Brazil
1919-05-01,25.837,1.118,Acre,Brazil
1919-06-01,25.048,0.509,Acre,Brazil
1919-07-01,24.716,0.467,Acre,Brazil
1919-08-01,25.392,0.508,Acre,Brazil
1919-09-01,26.789,0.432,Acre,Brazil
1919-10-01,26.306,0.482,Acre,Brazil
1919-11-01,25.81,0.711,Acre,Brazil
1919-12-01,25.391,0.689,Acre,Brazil
1920-01-01,25.858,0.738,Acre,Brazil
1920-02-01,26.04,0.772,Acre,Brazil
1920-03-01,25.659,0.94,Acre,Brazil
1920-04-01,25.794,0.671,Acre,Brazil
1920-05-01,25.129,0.592,Acre,Brazil
1920-06-01,24.287,0.576,Acre,Brazil
1920-07-01,24.16,0.861,Acre,Brazil
1920-08-01,25.356,0.461,Acre,Brazil
1920-09-01,26.28,0.464,Acre,Brazil
1920-10-01,26.286,0.766,Acre,Brazil
1920-11-01,25.953,0.736,Acre,Brazil
1920-12-01,25.341,0.626,Acre,Brazil
1921-01-01,25.472,0.583,Acre,Brazil
1921-02-01,25.203,0.471,Acre,Brazil
1921-03-01,25.353,0.502,Acre,Brazil
1921-04-01,25.308,0.626,Acre,Brazil
1921-05-01,25.396,0.482,Acre,Brazil
1921-06-01,23.818,1.44,Acre,Brazil
1921-07-01,23.49,1.447,Acre,Brazil
1921-08-01,25.324,0.587,Acre,Brazil
1921-09-01,26.11,0.98,Acre,Brazil
1921-10-01,25.855,0.901,Acre,Brazil
1921-11-01,26.004,0.601,Acre,Brazil
1921-12-01,26.103,0.731,Acre,Brazil
1922-01-01,26.117,0.726,Acre,Brazil
1922-02-01,25.798,0.643,Acre,Brazil
1922-03-01,25.73,0.539,Acre,Brazil
1922-04-01,25.829,0.903,Acre,Brazil
1922-05-01,25.09,0.56,Acre,Brazil
1922-06-01,24.519,0.69,Acre,Brazil
1922-07-01,24.035,0.808,Acre,Brazil
1922-08-01,25.352,0.82,Acre,Brazil
1922-09-01,26.568,0.574,Acre,Brazil
1922-10-01,25.904,0.962,Acre,Brazil
1922-11-01,25.543,0.661,Acre,Brazil
1922-12-01,25.266,0.611,Acre,Brazil
1923-01-01,25.397,0.724,Acre,Brazil
1923-02-01,25.649,0.594,Acre,Brazil
1923-03-01,25.546,0.666,Acre,Brazil
1923-04-01,25.201,0.699,Acre,Brazil
1923-05-01,25.221,0.624,Acre,Brazil
1923-06-01,24.495,0.5,Acre,Brazil
1923-07-01,24.22,0.583,Acre,Brazil
1923-08-01,25.273,0.695,Acre,Brazil
