Date,AverageTemperature,AverageTemperatureUncertainty,State,Country
1930-12-01,-10.271,0.484,Moskva,Russia
1931-01-01,-11.264,0.495,Moskva,Russia
1931-02-01,-14.776,0.603,Moskva,Russia
1931-03-01,-5.326,0.424,Moskva,Russia
1931-04-01,2.595,0.454,Moskva,Russia
1931-05-01,13.817,0.425,Moskva,Russia
1931-06-01,14.947,0.39,Moskva,Russia
1931-07-01,20.225,0.432,Moskva,Russia
1931-08-01,16.646,0.36,Moskva,Russia
1931-09-01,9.667,0.425,Moskva,Russia
1931-10-01,3.768,0.393,Moskva,Russia
1931-11-01,-3.219,0.397,Moskva,Russia
1931-12-01,-7.503,0.408,Moskva,Russia
1932-01-01,-4.132,0.495,Moskva,Russia
1932-02-01,-14.617,0.617,Moskva,Russia
1932-03-01,-7.884,0.723,Moskva,Russia
1932-04-01,4.034,0.47,Moskva,Russia
1932-05-01,13.893,0.393,Moskva,Russia
1932-06-01,16.753,0.393,Moskva,Russia
1932-07-01,19,0.338,Moskva,Russia
1932-08-01,18.863,0.365,Moskva,Russia
1932-09-01,12.171,0.303,Moskva,Russia
1932-10-01,5.677,0.396,Moskva,Russia
1932-11-01,-0.909,0.407,Moskva,Russia
1932-12-01,-1.877,0.41,Moskva,Russia
1933-01-01,-12.952,0.415,Moskva,Russia
1933-02-01,-10.887,0.514,Moskva,Russia
1933-03-01,-4.385,0.541,Moskva,Russia
1933-04-01,4.23,0.339,Moskva,Russia
1933-05-01,9.73,0.364,Moskva,Russia
1933-06-01,15.039,0.314,Moskva,Russia
1933-07-01,19.643,0.367,Moskva,Russia
1933-08-01,14.542,0.331,Moskva,Russia
1933-09-01,11.071,0.305,Moskva,Russia
1933-10-01,4.651,0.374,Moskva,Russia
1933-11-01,-3.531,0.695,Moskva,Russia
1933-12-01,-14.471,0.746,Moskva,Russia
1934-01-01,-8.372,0.65,Moskva,Russia
1934-02-01,-7.749,0.598,Moskva,Russia
1934-03-01,-2.731,0.421,Moskva,Russia
1934-04-01,5.653,0.419,Moskva,Russia
1934-05-01,14.632,0.361,Moskva,Russia
1934-06-01,13.808,0.419,Moskva,Russia
1934-07-01,19.309,0.3,Moskva,Russia
1934-08-01,16.849,0.389,Moskva,Russia
1934-09-01,12.154,0.353,Moskva,Russia
1934-10-01,6.976,0.338,Moskva,Russia
1934-11-01,1.489,0.31,Moskva,Russia
1934-12-01,-9.556,0.424,Moskva,Russia
1935-01-01,-11.184,0.485,Moskva,Russia
1935-02-01,-5.214,0.572,Moskva,Russia
1935-03-01,-3.287,0.402,Moskva,Russia
1935-04-01,4.674,0.421,Moskva,Russia
1935-05-01,9.657,0.403,Moskva,Russia
1935-06-01,16.75,0.37,Moskva,Russia
1935-07-01,15.591,0.474,Moskva,Russia
1935-08-01,16.503,0.384,Moskva,Russia
1935-09-01,11.407,0.35,Moskva,Russia
1935-10-01,8.302,0.423,Moskva,Russia
1935-11-01,-2.692,0.346,Moskva,Russia
1935-12-01,-5.699,0.473,Moskva,Russia
1936-01-01,-4.986,0.485,Moskva,Russia
1936-02-01,-12.842,0.385,Moskva,Russia
