Date,AverageTemperature,AverageTemperatureUncertainty,State,Country
1920-05-01,15.056,0.538,Moscow City,Russia
1920-06-01,14.57,0.538,Moscow City,Russia
1920-07-01,20.002,0.698,Moscow City,Russia
1920-08-01,18.08,0.494,Moscow City,Russia
1920-09-01,11.463,0.67,Moscow City,Russia
1920-10-01,-0.483,0.464,Moscow City,Russia
1920-11-01,-3.447,0.683,Moscow City,Russia
1920-12-01,-8.847,1.148,Moscow City,Russia
1921-01-01,-8.999,0.773,Moscow City,Russia
1921-02-01,-10.654,0.549,Moscow City,Russia
1921-03-01,0.222,0.53,Moscow City,Russia
1921-04-01,9.519,0.625,Moscow City,Russia
1921-05-01,15.733,0.631,Moscow City,Russia
1921-06-01,17.03,0.517,Moscow City,Russia
1921-07-01,15.706,0.513,Moscow City,Russia
1921-08-01,15.902,0.724,Moscow City,Russia
1921-09-01,9.243,0.46,Moscow City,Russia
1921-10-01,2.953,0.495,Moscow City,Russia
1921-11-01,-5.546,0.99,Moscow City,Russia
1921-12-01,-9.158,0.529,Moscow City,Russia
1922-01-01,-10.268,0.671,Moscow City,Russia
1922-02-01,-9.034,0.858,Moscow City,Russia
1922-03-01,-3.345,0.52,Moscow City,Russia
1922-04-01,4.389,0.511,Moscow City,Russia
1922-05-01,12.408,0.551,Moscow City,Russia
1922-06-01,15.432,0.434,Moscow City,Russia
1922-07-01,18.383,0.625,Moscow City,Russia
1922-08-01,15.748,0.558,Moscow City,Russia
1922-09-01,9.651,0.511,Moscow City,Russia
1922-10-01,2.027,0.6,Moscow City,Russia
1922-11-01,-0.876,0.74,Moscow City,Russia
1922-12-01,-6.359,0.492,Moscow City,Russia
1923-01-01,-7.244,0.606,Moscow City,Russia
1923-02-01,-13.028,0.655,Moscow City,Russia
1923-03-01,-4.422,0.882,Moscow City,Russia
1923-04-01,0.82,0.499,Moscow City,Russia
1923-05-01,12.374,0.481,Moscow City,Russia
1923-06-01,14.64,0.547,Moscow City,Russia
1923-07-01,16.235,0.724,Moscow City,Russia
1923-08-01,13.397,0.484,Moscow City,Russia
1923-09-01,12.338,0.515,Moscow City,Russia
1923-10-01,6.62,0.491,Moscow City,Russia
1923-11-01,2.484,0.666,Moscow City,Russia
1923-12-01,-6.965,0.671,Moscow City,Russia
1924-01-01,-13.078,0.999,Moscow City,Russia
1924-02-01,-11.468,0.609,Moscow City,Russia
1924-03-01,-6.187,0.557,Moscow City,Russia
1924-04-01,3.018,0.59,Moscow City,Russia
1924-05-01,13.091,0.543,Moscow City,Russia
1924-06-01,17.485,0.571,Moscow City,Russia
1924-07-01,16.208,0.522,Moscow City,Russia
1924-08-01,15.979,0.541,Moscow City,Russia
1924-09-01,13.231,0.462,Moscow City,Russia
1924-10-01,4.362,0.529,Moscow City,Russia
1924-11-01,-1.434,0.565,Moscow City,Russia
1924-12-01,-7.197,0.678,Moscow City,Russia
1925-01-01,-4.132,0.856,Moscow City,Russia
1925-02-01,-2.374,0.806,Moscow City,Russia
1925-03-01,-1.899,0.64,Moscow City,Russia
1925-04-01,6.524,0.426,Moscow City,Russia
1925-05-01,13.558,0.539,Moscow City,Russia
1925-06-01,14.333,0.554,Moscow City,Russia
1925-07-01,18.934,0.431,Moscow City,Russia
1925-08-01,16.267,0.41,Moscow City,Russia
1925-09-01,10.39,0.369,Moscow City,Russia
1925-10-01,2.425,0.411,Moscow City,Russia
1925-11-01,-2.418,0.546,Moscow City,Russia
1925-12-01,-6.884,0.517,Moscow City,Russia
1926-01-01,-11.615,0.384,Moscow City,Russia
1926-02-01,-10.322,0.653,Moscow City,Russia
1926-03-01,-5.331,0.775,Moscow City,Russia
1926-04-01,1.935,0.552,Moscow City,Russia
1926-05-01,12.785,0.486,Moscow City,Russia
1926-06-01,16.547,0.524,Moscow City,Russia
1926-07-01,16.928,0.452,Moscow City,Russia
1926-08-01,13.313,0.497,Moscow City,Russia
1926-09-01,10.446,0.512,Moscow City,Russia
1926-10-01,2.642,0.406,Moscow City,Russia
1926-11-01,2.171,0.843,Moscow City,Russia
1926-12-01,-9.01,0.642,Moscow City,Russia
1927-01-01,-13.838,0.572,Moscow City,Russia
1927-02-01,-8.935,0.69,Moscow City,Russia
1927-03-01,-3.415,0.666,Moscow City,Russia
1927-04-01,3.636,0.416,Moscow City,Russia
1927-05-01,9.736,0.48,Moscow City,Russia
1927-06-01,16.382,0.375,Moscow City,Russia
1927-07-01,18.589,0.364,Moscow City,Russia
1927-08-01,18.246,0.552,Moscow City,Russia
1927-09-01,11.837,0.436,Moscow City,Russia
1927-10-01,3.847,0.416,Moscow City,Russia
1927-11-01,-2.54,0.579,Moscow City,Russia
1927-12-01,-11.56,1.052,Moscow City,Russia
1928-01-01,-7.791,0.557,Moscow City,Russia
1928-02-01,-11.936,0.786,Moscow City,Russia
1928-03-01,-7.361,0.922,Moscow City,Russia
1928-04-01,1.706,0.808,Moscow City,Russia
1928-05-01,11.701,0.414,Moscow City,Russia
1928-06-01,12.42,0.55,Moscow City,Russia
1928-07-01,16.269,0.612,Moscow City,Russia
1928-08-01,14.589,0.457,Moscow City,Russia
1928-09-01,10.966,0.347,Moscow City,Russia
1928-10-01,3.846,0.496,Moscow City,Russia
1928-11-01,2.071,0.741,Moscow City,Russia
1928-12-01,-6.934,0.602,Moscow City,Russia
1929-01-01,-11.416,0.329,Moscow City,Russia
1929-02-01,-18.905,0.79,Moscow City,Russia
1929-03-01,-7.531,0.726,Moscow City,Russia
1929-04-01,-1.777,1.355,Moscow City,Russia
1929-05-01,14.255,0.733,Moscow City,Russia
1929-06-01,13.809,0.428,Moscow City,Russia
1929-07-01,17.968,0.597,Moscow City,Russia
1929-08-01,18.443,0.507,Moscow City,Russia
1929-09-01,9.175,0.442,Moscow City,Russia
1929-10-01,7.426,0.482,Moscow City,Russia
1929-11-01,0.628,0.556,Moscow City,Russia
1929-12-01,-5.958,0.521,Moscow City,Russia
1930-01-01,-5.068,0.669,Moscow City,Russia
1930-02-01,-10.152,0.698,Moscow City,Russia
1930-03-01,-1.066,0.578,Moscow City,Russia
1930-04-01,6.288,0.863,Moscow City,Russia
1930-05-01,12.249,0.387,Moscow City,Russia
1930-06-01,13.221,0.733,Moscow City,Russia
1930-07-01,16.993,0.417,Moscow City,Russia
1930-08-01,18.462,0.339,Moscow City,Russia
1930-09-01,8.585,0.367,Moscow City,Russia
1930-10-01,5.145,0.39,Moscow City,Russia
1930-11-01,-0.053,0.46,Moscow City,Russia
1930-12-01,-10.043,0.5,Moscow City,Russia
1931-01-01,-10.976,0.519,Moscow City,Russia
1931-02-01,-14.66,0.719,Moscow City,Russia
1931-03-01,-5.283,0.449,Moscow City,Russia
1931-04-01,2.352,0.481,Moscow City,Russia
1931-05-01,13.747,0.604,Moscow City,Russia
1931-06-01,14.718,0.425,Moscow City,Russia
1931-07-01,20.004,0.453,Moscow City,Russia
1931-08-01,16.494,0.365,Moscow City,Russia
